cell_id,arm,trial_index,seed,param_N,param_rrf,param_n_missions,param_regime,update_yield,round_close_rate_kmin1,round_close_rate_kmin2,round_close_rate_kminhalf,round_close_rate_kminN,coverage,jains_fairness,participation_entropy,mission_completion_rate,completion_fairness,pass2_coverage,rho_contact,rounds_closed,missions_completed,mission_failures,pass1_contacts_mean,pass2_contacts_mean,mission_duration_s_mean,n_devices,rf_range_m,n_missions_target,init_auc,init_accuracy,init_loss,final_auc,final_accuracy,final_loss,best_auc,delta_auc,rounds_evaluated,t_at_tau_round,tau,status,duration_s,error
N=6|n_missions=4|regime=clean|rrf=60.0,H0,0,1576718867,6,60.0,4,clean,3.0,1.0,0.75,0.75,0.0,0.8333333333333334,0.8,2.292481250360578,0.8333333333333334,0.8,,,4,0,0,0.0,0.0,0.0,6,60.0,4,0.3426395555555556,0.3333333333333333,0.7334844470024109,0.8975084444444444,0.6662222222222223,0.57957524061203,0.9014151111111111,0.5548688888888889,5,,0.9,ok,22.914395570755005,
N=6|n_missions=4|regime=clean|rrf=60.0,H1,0,1576718867,6,60.0,4,clean,2.0,1.0,0.5,0.5,0.0,1.0,1.0,2.584962500721156,0.8333333333333334,0.7619047619047619,1.0,1.7142857142857142,4,4,0,3.5,3.75,9.330071330070496,6,60.0,4,0.3426395555555556,0.3333333333333333,0.7334844470024109,0.9078977777777777,0.6666666666666666,0.5876317024230957,0.9078977777777777,0.5652582222222221,5,,0.9,ok,49.65899038314819,
N=6|n_missions=4|regime=clean|rrf=60.0,H0,1,1682551141,6,60.0,4,clean,3.0,1.0,0.75,0.75,0.0,0.8333333333333334,0.8,2.292481250360578,0.8333333333333334,0.8,,,4,0,0,0.0,0.0,0.0,6,60.0,4,0.3405257777777778,0.3333333333333333,0.7302052974700928,0.8729146666666667,0.6666666666666666,0.586819589138031,0.900448,0.5323888888888889,5,,0.9,ok,14.734507083892822,
N=6|n_missions=4|regime=clean|rrf=60.0,H1,1,1682551141,6,60.0,4,clean,2.75,1.0,1.0,0.5,0.0,1.0,1.0,2.584962500721156,1.0,0.8768115942028986,1.0,2.0,4,4,0,3.0,3.0,7.799302518367767,6,60.0,4,0.3405257777777778,0.3333333333333333,0.7302052974700928,0.8868506666666667,0.6653333333333333,0.5872924327850342,0.9108711111111111,0.5463248888888889,5,,0.9,ok,43.61793661117554,
N=6|n_missions=4|regime=clean|rrf=60.0,H0,2,341864663,6,60.0,4,clean,2.25,1.0,1.0,0.25,0.0,1.0,0.9,2.5032583347756456,1.0,0.9,,,4,0,0,0.0,0.0,0.0,6,60.0,4,0.3482466666666667,0.3333333333333333,0.732535183429718,0.8826124444444444,0.6524444444444445,0.5877891778945923,0.8920337777777778,0.5343657777777777,5,,0.9,ok,14.838934659957886,
N=6|n_missions=4|regime=clean|rrf=60.0,H1,2,341864663,6,60.0,4,clean,2.0,1.0,1.0,0.0,0.0,1.0,0.9958847736625515,2.5820239409642762,1.0,0.8888888888888888,1.0,1.5,4,4,0,4.0,4.0,11.385962188243866,6,60.0,4,0.3482466666666667,0.3333333333333333,0.732535183429718,0.8913004444444445,0.6671111111111111,0.5819916725158691,0.8992302222222222,0.5430537777777777,5,,0.9,ok,56.96534609794617,
N=6|n_missions=4|regime=clean|rrf=60.0,H0,3,2671315389,6,60.0,4,clean,3.75,1.0,1.0,1.0,0.0,0.8333333333333334,0.7352941176470589,2.2062389286533897,0.8333333333333334,0.7352941176470589,,,4,0,0,0.0,0.0,0.0,6,60.0,4,0.3410364444444445,0.3333333333333333,0.7322739958763123,0.900688,0.6666666666666666,0.5923447608947754,0.9084213333333334,0.5596515555555556,5,,0.9,ok,14.541175842285156,
N=6|n_missions=4|regime=clean|rrf=60.0,H1,3,2671315389,6,60.0,4,clean,2.25,1.0,1.0,0.25,0.0,1.0,0.9958847736625515,2.5820239409642762,0.8333333333333334,0.7941176470588235,1.0,1.5,4,4,0,4.0,4.0,10.692895531654358,6,60.0,4,0.3410364444444445,0.3333333333333333,0.7322739958763123,0.8997275555555555,0.7044444444444444,0.5849161744117737,0.9086302222222222,0.558691111111111,5,,0.9,ok,54.48796248435974,
N=6|n_missions=4|regime=clean|rrf=60.0,H0,4,1460311941,6,60.0,4,clean,5.0,1.0,1.0,1.0,0.25,1.0,0.9523809523809523,2.5464393446710156,1.0,0.9523809523809523,,,4,0,0,0.0,0.0,0.0,6,60.0,4,0.337824,0.3333333333333333,0.7329882979393005,0.8983315555555555,0.6542222222222223,0.5842876434326172,0.919703111111111,0.5605075555555555,5,,0.9,ok,16.744648933410645,
N=6|n_missions=4|regime=clean|rrf=60.0,H1,4,1460311941,6,60.0,4,clean,3.5,1.0,1.0,0.75,0.0,1.0,1.0,2.584962500721156,1.0,0.8596491228070176,1.0,1.7142857142857142,4,4,0,3.5,3.5,7.684701025485992,6,60.0,4,0.337824,0.3333333333333333,0.7329882979393005,0.9265422222222223,0.7226666666666667,0.5841423273086548,0.9265422222222223,0.5887182222222223,5,,0.9,ok,43.87298250198364,
N=6|n_missions=4|regime=clean|rrf=60.0,H0,5,2815654612,6,60.0,4,clean,3.75,1.0,1.0,1.0,0.0,0.8333333333333334,0.7978723404255319,2.2892464285091583,0.8333333333333334,0.7978723404255319,,,4,0,0,0.0,0.0,0.0,6,60.0,4,0.31494488888888894,0.3333333333333333,0.721361517906189,0.9197813333333333,0.6666666666666666,0.5907136797904968,0.9197813333333333,0.6048364444444444,5,,0.9,ok,14.966416358947754,
