cell_id,arm,trial_index,seed,param_N,param_rrf,param_n_missions,param_regime,param_dead_zone,param_link_quality,update_yield,round_close_rate_kmin1,round_close_rate_kmin2,round_close_rate_kminhalf,round_close_rate_kminN,coverage,jains_fairness,participation_entropy,mission_completion_rate,completion_fairness,pass2_coverage,rho_contact,rounds_closed,missions_completed,mission_failures,pass1_contacts_mean,pass2_contacts_mean,mission_duration_s_mean,n_devices,rf_range_m,n_missions_target,init_auc,init_accuracy,init_loss,final_auc,final_accuracy,final_loss,best_auc,delta_auc,rounds_evaluated,t_at_tau_round,tau,status,duration_s,error
N=6|dead_zone=0.0|link_quality=0.3|n_missions=4|regime=jittery|rrf=60.0,H0,0,2445965193,6,60.0,4,jittery,0.0,0.3,1.0,0.75,0.25,0.0,0.0,0.5,0.4444444444444444,1.5,0.5,0.4444444444444444,,,4,0,0,0.0,0.0,0.0,6,60.0,4,0.26024768750000005,0.3595,0.6959475874900818,0.9855140625000001,0.8393333333333334,0.40072542428970337,0.9855140625000001,0.725266375,5,,0.9,ok,20.153892040252686,
N=6|dead_zone=0.0|link_quality=0.3|n_missions=4|regime=jittery|rrf=60.0,H1,0,2445965193,6,60.0,4,jittery,0.0,0.3,2.0,1.0,0.5,0.25,0.0,1.0,0.9970344009489917,2.5827423149511795,0.8333333333333334,0.7619047619047619,1.0,1.7142857142857142,4,4,0,3.5,3.5,8.947783052921295,6,60.0,4,0.26024768750000005,0.3595,0.6959475874900818,0.988887375,0.936,0.27871963381767273,0.988887375,0.7286396875,5,4,0.9,ok,47.195738554000854,
N=6|dead_zone=0.0|link_quality=0.3|n_missions=4|regime=jittery|rrf=60.0,H0,1,2190988607,6,60.0,4,jittery,0.0,0.3,0.5,0.5,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,,,4,0,0,0.0,0.0,0.0,6,60.0,4,0.2625445625,0.35633333333333334,0.6959373950958252,0.9779413124999999,0.8371666666666666,0.6010265946388245,0.9779413124999999,0.7153967499999999,5,,0.9,ok,10.531826257705688,
N=6|dead_zone=0.0|link_quality=0.3|n_missions=4|regime=jittery|rrf=60.0,H1,1,2190988607,6,60.0,4,jittery,0.0,0.3,1.5,0.75,0.75,0.0,0.0,1.0,0.9970344009489917,2.5827423149511795,0.6666666666666666,0.6,0.75,1.5,3,4,0,4.0,3.0,11.66821140050888,6,60.0,4,0.2625445625,0.35633333333333334,0.6959373950958252,0.964549375,0.8183333333333334,0.43807536363601685,0.964549375,0.7020048125,4,,0.9,ok,58.33877635002136,
N=6|dead_zone=0.0|link_quality=0.3|n_missions=4|regime=jittery|rrf=60.0,H0,2,1675044949,6,60.0,4,jittery,0.0,0.3,1.0,0.75,0.25,0.0,0.0,0.5,0.4444444444444444,1.5,0.5,0.4444444444444444,,,4,0,0,0.0,0.0,0.0,6,60.0,4,0.26341856249999995,0.3576666666666667,0.695913553237915,0.9761668125,0.8588333333333333,0.4287703335285187,0.9761668125,0.7127482500000001,5,,0.9,ok,13.66219425201416,
N=6|dead_zone=0.0|link_quality=0.3|n_missions=4|regime=jittery|rrf=60.0,H1,2,1675044949,6,60.0,4,jittery,0.0,0.3,2.0,1.0,0.5,0.25,0.0,1.0,0.9962335216572504,2.582193066735133,0.8333333333333334,0.7619047619047619,1.0,1.2,4,4,0,5.0,5.0,11.769690930843353,6,60.0,4,0.26341856249999995,0.3576666666666667,0.695913553237915,0.985039875,0.8725,0.33608293533325195,0.985039875,0.7216213125000001,5,,0.9,ok,58.4791362285614,
N=6|dead_zone=0.0|link_quality=0.3|n_missions=4|regime=jittery|rrf=60.0,H0,3,288359827,6,60.0,4,jittery,0.0,0.3,1.25,0.5,0.5,0.25,0.0,0.6666666666666666,0.5952380952380952,1.9219280948873623,0.6666666666666666,0.5952380952380952,,,4,0,0,0.0,0.0,0.0,6,60.0,4,0.2719461875,0.3605,0.6958975195884705,0.9338749375000001,0.8255,0.5924215316772461,0.9338749375000001,0.6619287500000001,5,,0.9,ok,17.07646679878235,
N=6|dead_zone=0.0|link_quality=0.3|n_missions=4|regime=jittery|rrf=60.0,H1,3,288359827,6,60.0,4,jittery,0.0,0.3,2.25,1.0,0.75,0.5,0.0,1.0,1.0,2.584962500721156,1.0,0.9,1.0,2.0,4,4,0,3.0,3.0,10.283043622970581,6,60.0,4,0.2719461875,0.3605,0.6958975195884705,0.984628,0.9226666666666666,0.30590417981147766,0.984628,0.7126818125,5,4,0.9,ok,53.236308097839355,
N=6|dead_zone=0.0|link_quality=0.3|n_missions=4|regime=jittery|rrf=60.0,H0,4,1184982943,6,60.0,4,jittery,0.0,0.3,1.75,1.0,0.5,0.25,0.0,0.6666666666666666,0.5444444444444444,1.8423709931771084,0.6666666666666666,0.5444444444444444,,,4,0,0,0.0,0.0,0.0,6,60.0,4,0.29059,0.3555,0.6958067417144775,0.9865257500000002,0.9351666666666667,0.2790681719779968,0.9865257500000002,0.6959357500000002,5,2,0.9,ok,16.955074548721313,
N=6|dead_zone=0.0|link_quality=0.3|n_missions=4|regime=jittery|rrf=60.0,H1,4,1184982943,6,60.0,4,jittery,0.0,0.3,2.0,1.0,0.75,0.25,0.0,1.0,0.9962335216572504,2.582193066735133,0.6666666666666666,0.5925925925925926,1.0,1.2,4,4,0,5.0,5.0,10.212941646575928,6,60.0,4,0.29059,0.3555,0.6958067417144775,0.987470125,0.9141666666666667,0.29117152094841003,0.987470125,0.696880125,5,4,0.9,ok,52.000590324401855,
N=6|dead_zone=0.0|link_quality=0.3|n_missions=4|regime=jittery|rrf=60.0,H0,5,2804292968,6,60.0,4,jittery,0.0,0.3,1.5,1.0,0.25,0.25,0.0,0.5,0.5,1.584962500721156,0.5,0.5,,,4,0,0,0.0,0.0,0.0,6,60.0,4,0.2613966875,0.3555,0.6959311366081238,0.9846604375,0.9176666666666666,0.32114264369010925,0.9846604375,0.72326375,5,4,0.9,ok,14.427285432815552,
N=6|dead_zone=0.0|link_quality=0.3|n_missions=4|regime=jittery|rrf=60.0,H1,5,2804292968,6,60.0,4,jittery,0.0,0.3,1.5,0.75,0.5,0.25,0.0,1.0,0.9922480620155039,2.579434002924965,0.6666666666666666,0.6,0.75,2.4,3,4,0,2.5,2.5,7.164314925670624,6,60.0,4,0.2613966875,0.3555,0.6959311366081238,0.9712287499999999,0.8863333333333333,0.42541104555130005,0.9712287499999999,0.7098320624999999,4,,0.9,ok,39.797346115112305,
N=6|dead_zone=0.0|link_quality=0.3|n_missions=4|regime=jittery|rrf=60.0,H0,6,3018903149,6,60.0,4,jittery,0.0,0.3,0.5,0.5,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,,,4,0,0,0.0,0.0,0.0,6,60.0,4,0.2610154375,0.3571666666666667,0.6959627270698547,0.9562828750000001,0.8026666666666666,0.5771169662475586,0.9562828750000001,0.6952674375000001,5,,0.9,ok,8.290443181991577,
N=6|dead_zone=0.0|link_quality=0.3|n_missions=4|regime=jittery|rrf=60.0,H1,6,3018903149,6,60.0,4,jittery,0.0,0.3,2.25,1.0,0.75,0.25,0.0,1.0,0.9941176470588236,2.580689952806082,0.6666666666666666,0.54,1.0,1.5,4,4,0,4.0,4.0,7.324745357036591,6,60.0,4,0.2610154375,0.3571666666666667,0.6959627270698547,0.98845275,0.9113333333333333,0.3008285164833069,0.98845275,0.7274373125,5,3,0.9,ok,40.45255994796753,
N=6|dead_zone=0.0|link_quality=0.3|n_missions=4|regime=jittery|rrf=60.0,H0,7,2558694739,6,60.0,4,jittery,0.0,0.3,0.75,0.75,0.0,0.0,0.0,0.5,0.5,1.584962500721156,0.5,0.5,,,4,0,0,0.0,0.0,0.0,6,60.0,4,0.2575209375,0.3586666666666667,0.6959788203239441,0.9740761874999999,0.8913333333333333,0.40997180342674255,0.9740761874999999,0.7165552499999999,5,,0.9,ok,13.645205736160278,
